rank	method	category	aupcr	note
1	Our improved changer classifier (EPRO_DEV_10)	Ours (trained)	0.7435	structure-aware + delta_thermo MLP, lr=3e-4 (hp-search best)
2	EPRO_DEV_06 structure-aware changer	Ours (trained)	0.7353	structure-aware contact-graph MLP
3	p2_paired baseline	Internal baseline	0.6936	
4	wt_only baseline	Internal baseline	0.6748	
5	RNAformer (Nat. Mach. Intell. 2023)	Published SOTA (DL)	0.5554	32M-param transformer, intra-family fine-tuned; zero-shot in-silico mutagenesis
6	EternaFold (Nat. Commun. 2022)	Published SOTA (ML)	0.4632	RNA parametric ML folding model; zero-shot in-silico mutagenesis
7	ViennaRNA Turner-rules physics	Published physics	0.4534	|Delta(unpaired)| in-silico mutagenesis
